Date,Name of Payee and Complete Mailing Address,Expenditure Type,Purpose,Candidate,Office Sought,Declaration,Amount,In-Kind Description,Account Code,Form of Payment,Amount of Expenditure,Sum To Date,Committee,Committee Id
10/28/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,AMY DELOACH,NC HOUSE DISTRICT 20,Oppose,,,1.0,Electronic Funds Transfer,10134.89,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/28/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,RICKY HURTADO,NC HOUSE DIST 63,Oppose,,,1.0,Electronic Funds Transfer,8400.25,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/28/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,VALERIE JORDAN,NC SENATE DISTRICT 3,Oppose,,,1.0,Electronic Funds Transfer,29717.88,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/28/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,DEB BUTLER,NC HOUSE DISTRICT 18,Oppose,,,1.0,Electronic Funds Transfer,10134.88,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/28/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,LINDA COOPER SUGGS,NC HOUSE DIST 24,Oppose,,,1.0,Electronic Funds Transfer,11088.05,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/28/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,CHRISTY CLARK,NC HOUSE DIST 98,Oppose,,,1.0,Electronic Funds Transfer,12678.01,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/28/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,JAMES GAILLIARD,NC HOUSE DIST 25,Oppose,,,1.0,Electronic Funds Transfer,12341.65,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/28/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,CARLA CATALAN DAY,NC HOUSE DISTRICT 74,Oppose,,,1.0,Electronic Funds Transfer,12346.23,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/28/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,MARCIA MORGAN,NC SENATE DISTRICT 7,Oppose,,,1.0,Electronic Funds Transfer,10134.89,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
10/28/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,BRANDON GRAY,NC HOUSE DIST 62,Oppose,,,1.0,Electronic Funds Transfer,11226.55,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/11/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,LEANNE PIERCE,NEW HANOVER COUNTY COMMISSIONER,Support,,,1.0,Electronic Funds Transfer,23516.0,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,LINDA COOPER-SUGGS,NC HOUSE DIST 24,Oppose,,,1.0,Electronic Funds Transfer,11595.63,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,VALERIE JORDAN,NC SENATE 3,Oppose,,,1.0,Electronic Funds Transfer,15751.63,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,DEB BUTLER,NC HOUSE DIST 18,Oppose,,,1.0,Electronic Funds Transfer,14314.38,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,BRNDON GRAY,NC HOUSE DIST 62,Oppose,,,1.0,Electronic Funds Transfer,11740.88,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
11/21/2022,"MARTIN & BLAINE, THE DIFFERENTIATORS, LLC 4800 SIX FORKS RD RALEIGH, NC 27609",Independent Expenditure,DIRECT MAIL,AMY DELOACH,NC HOUSE DIST 20,Oppose,,,1.0,Electronic Funds Transfer,14314.38,1042474.59,CITIZENS FOR A BETTER NORTH CAROLINA,STA-9I5Y56-C-001
